"item_ID" "a" "b" "c"
"1" 1 0.26 -1.3 0.04
"2" 2 0.4 1 0.15
"3" 3 0.43 -2 0.14
"4" 4 0.49 -0.6 0
"5" 5 0.52 -1.55 0.12
"6" 6 0.55 0.71 0
"7" 7 0.57 0.64 0.19
"8" 8 0.58 0.93 0.01
"9" 9 0.6 1.33 0.22
"10" 10 0.63 -0.59 0.13
"11" 11 0.64 -1.37 0.16
"12" 12 0.66 -0.83 0.09
"13" 13 0.68 -0.1 0.14
"14" 14 0.69 -0.02 0.45
"15" 15 0.71 -1.86 0
"16" 16 0.74 -0.54 0
"17" 17 0.75 -0.31 0.19
"18" 18 0.77 0.92 0.25
"19" 19 0.79 -0.05 0.25
"20" 20 0.82 1.06 0.17
"21" 21 0.85 -0.12 0.14
"22" 22 0.87 -0.8 0.04
"23" 23 0.89 1.48 0.03
"24" 24 0.91 0.68 0.14
"25" 25 0.92 -0.1 0.22
"26" 26 0.95 1.25 0.02
"27" 27 0.98 0.53 0.22
"28" 28 1 -0.67 0.16
"29" 29 1.01 0.29 0.06
"30" 30 1.04 0.68 0.18
"31" 31 1.07 0.63 0.09
"32" 32 1.1 0.55 0.13
"33" 33 1.13 0.21 0.21
"34" 34 1.16 1.01 0.08
"35" 35 1.2 0.2 0.18
"36" 36 1.23 1.35 0.3
"37" 37 1.28 0.13 0.44
"38" 38 1.33 0.84 0.34
"39" 39 1.39 1.48 0.17
"40" 40 1.5 1.18 0.25
