"test.1" "test.2" "test.3" "test.4" "test.5" "test.6" "test.7" "test.8"
"1" 5 4 3 5 4 4 3 3
"2" 5 6 4 5 4 5 4 4
"3" 4 3 3 4 4 3 3 4
"4" 4 4 4 3 5 4 4 5
"5" 4 5 2 4 3 4 2 3
"6" 5 5 5 5 6 5 5 6
"7" 3 3 4 3 5 3 4 5
"8" 6 6 5 5 6 5 5 6
"9" 5 5 4 5 5 4 5 5
"10" 4 4 4 4 5 4 5 5
"11" 6 5 4 5 5 5 4 5
"12" 3 4 4 4 5 3 4 4
"13" 5 5 4 4 5 4 4 5
"14" 5 5 3 5 4 5 3 4
"15" 4 3 4 4 5 4 4 4
"16" 3 4 4 4 4 3 3 4
"17" 4 4 4 3 5 4 4 5
"18" 6 6 4 5 5 5 4 5
"19" 5 4 3 4 3 4 3 3
"20" 5 4 4 4 5 4 4 5
"21" 4 4 6 4 6 4 5 6
"22" 5 5 4 4 4 4 3 4
"23" 4 4 5 3 6 3 5 5
"24" 5 3 2 4 3 4 3 3
"25" 5 5 4 5 5 5 4 4
"26" 5 5 3 4 4 5 3 4
"27" 4 5 2 4 3 5 2 3
"28" 5 5 3 4 4 5 3 4
"29" 6 6 3 5 4 6 3 4
"30" 4 4 1 4 2 3 2 2
"31" 6 5 3 6 4 5 3 4
"32" 6 6 3 6 3 6 3 3
"33" 6 6 4 6 5 6 4 5
"34" 5 5 5 5 5 4 5 5
"35" 5 4 3 4 3 4 3 4
"36" 5 4 4 4 4 4 4 4
"37" 3 4 4 3 5 3 4 4
"38" 4 4 3 3 4 4 3 3
"39" 6 6 2 5 3 5 2 3
"40" 5 5 3 5 3 5 3 3
"41" 4 3 4 3 5 3 3 4
"42" 5 4 4 4 5 4 5 5
"43" 5 5 4 4 5 4 4 5
"44" 3 3 4 3 5 3 4 5
"45" 6 5 4 5 6 5 5 5
"46" 4 5 4 3 5 4 4 5
"47" 4 5 3 3 4 4 4 3
"48" 4 4 4 3 4 3 4 5
"49" 4 5 5 5 6 4 5 5
"50" 4 3 3 2 5 3 4 4
"51" 5 5 3 4 4 5 3 3
"52" 6 5 5 5 5 5 5 5
"53" 4 4 3 3 4 3 3 3
"54" 6 6 4 5 5 6 4 5
"55" 2 2 4 2 5 2 4 5
"56" 4 5 4 4 5 4 4 4
"57" 7 8 4 7 6 7 5 5
"58" 5 5 3 5 4 5 3 3
"59" 3 4 5 3 6 4 5 5
"60" 5 4 6 4 7 4 5 6
"61" 4 5 4 4 5 4 4 5
"62" 4 4 3 4 4 4 4 4
"63" 4 4 4 3 4 4 4 4
"64" 4 5 3 4 4 5 4 5
"65" 5 5 5 3 6 4 5 6
"66" 4 4 4 4 5 4 4 5
"67" 6 5 3 5 4 5 4 4
"68" 4 4 4 3 5 4 4 5
"69" 6 5 4 5 5 5 3 4
"70" 4 3 5 4 6 3 5 5
"71" 5 5 5 4 6 4 5 6
"72" 5 5 3 4 3 5 2 3
"73" 4 4 3 3 4 4 3 4
"74" 5 5 3 4 4 5 2 3
"75" 4 4 3 4 4 3 3 4
"76" 2 3 2 3 4 3 4 3
"77" 5 5 5 5 5 4 5 5
"78" 4 4 3 4 4 4 3 5
"79" 5 5 4 4 4 4 4 5
"80" 6 6 4 5 5 5 4 5
"81" 4 4 4 3 4 4 3 4
"82" 6 6 3 5 4 5 3 4
"83" 4 4 4 4 6 3 4 3
"84" 4 3 4 3 4 3 4 5
"85" 6 6 3 5 3 5 3 3
"86" 4 3 3 3 4 3 4 4
"87" 5 3 3 4 5 3 4 4
"88" 6 6 2 5 3 5 3 3
"89" 5 5 3 4 4 5 4 4
"90" 5 5 4 5 5 5 5 5
"91" 5 5 3 4 4 5 4 4
"92" 5 6 3 4 4 4 3 3
"93" 4 4 3 3 3 4 3 3
"94" 3 3 3 2 4 3 3 4
"95" 5 5 6 4 6 4 6 6
"96" 4 5 3 4 5 4 3 3
"97" 5 6 3 5 4 5 3 3
"98" 4 5 3 4 5 4 4 5
"99" 5 5 3 5 5 4 4 4
"100" 5 4 4 4 6 5 5 5
